,image_path,zssrgan-psnr/ssim,kergan-psnr/ssim,zssrgan-psnr,kergan-psnr,zssrgan-ssim,kergan-ssim
0,baboon.png,tensor(24.0214)/0.954,tensor(21.4303)/0.937,,,,
1,baby.png,tensor(31.1789)/0.968,tensor(25.8791)/0.931,,,,
2,barbara.png,tensor(24.4065)/0.947,tensor(18.5389)/0.859,,,,
3,bird.png,tensor(26.6640)/0.957,tensor(26.1095)/0.955,,,,
4,butterfly.png,tensor(21.4084)/0.945,tensor(20.8747)/0.942,,,,
5,coastguard.png,tensor(20.4147)/0.829,tensor(19.8852)/0.828,,,,
6,face.png,tensor(26.4096)/0.905,tensor(25.4450)/0.893,,,,
7,flowers.png,tensor(24.5659)/0.945,tensor(22.6961)/0.928,,,,
8,foreman.png,tensor(27.2205)/0.963,tensor(24.2943)/0.938,,,,
9,head.png,tensor(28.3063)/0.933,tensor(24.3860)/0.882,,,,
10,lenna.png,tensor(29.8237)/0.961,tensor(24.4049)/0.923,,,,
11,man.png,tensor(24.5493)/0.935,tensor(19.1927)/0.856,,,,
12,monarch.png,tensor(26.9580)/0.973,tensor(25.6112)/0.967,,,,
13,pepper.png,tensor(30.2901)/0.971,tensor(28.1956)/0.958,,,,
14,woman.png,tensor(22.6906)/0.943,tensor(21.9929)/0.934,,,,
15,PSNR_AVG,,,tensor(25.9272),tensor(23.2624),,
16,SSIM_AVG,,,,,0.9419333333333334,0.9154
